Date,Product,Quantity,Price,Customer_ID,Region,Total_Sales,Marketing_Spend
2024-01-01,Phone,7,37300,CUST001,East,261100,52991
2024-01-02,Headphones,4,15406,CUST002,North,61624,15815
2024-01-03,Phone,2,21746,CUST003,West,43492,14123
2024-01-04,Headphones,1,30895,CUST004,East,30895,13607
2024-01-05,Laptop,8,39835,CUST005,North,318680,61894
2024-01-06,Laptop,7,40420,CUST006,South,282940,55460
2024-01-07,Laptop,9,40430,CUST007,South,363870,73655
2024-01-08,Laptop,7,7262,CUST008,West,50834,15684
2024-01-09,Tablet,3,32791,CUST009,North,98373,21768
2024-01-10,Laptop,4,45023,CUST010,West,180092,38501
2024-01-11,Monitor,8,6160,CUST011,West,49280,12943
2024-01-12,Phone,2,13233,CUST012,West,26466,8832
2024-01-13,Phone,8,20655,CUST013,East,165240,35227
2024-01-14,Headphones,4,4195,CUST014,East,16780,4193
2024-01-15,Headphones,2,34447,CUST015,West,68894,13951
2024-01-16,Phone,9,41548,CUST016,South,373932,71183
2024-01-17,Phone,5,13488,CUST017,South,67440,15113
2024-01-18,Tablet,4,19322,CUST018,North,77288,19540
2024-01-19,Tablet,1,44045,CUST019,West,44045,11112
2024-01-20,Laptop,8,41749,CUST020,North,333992,62293
2024-01-21,Laptop,3,36518,CUST021,East,109554,27651
2024-01-22,Tablet,2,6713,CUST022,West,13426,6965
2024-01-23,Laptop,9,29275,CUST023,North,263475,52560
2024-01-24,Headphones,1,17838,CUST024,West,17838,5361
2024-01-25,Monitor,2,9191,CUST025,West,18382,7219
2024-01-26,Laptop,3,25948,CUST026,North,77844,19233
2024-01-27,Tablet,1,38298,CUST027,North,38298,9591
2024-01-28,Tablet,7,43495,CUST028,North,304465,60555
2024-01-29,Headphones,1,45467,CUST029,North,45467,11982
2024-01-30,Tablet,9,11902,CUST030,North,107118,23697
2024-01-31,Tablet,6,34900,CUST031,East,209400,41488
2024-02-01,Phone,4,16997,CUST032,South,67988,20942
2024-02-02,Tablet,3,20696,CUST033,South,62088,16148
2024-02-03,Tablet,2,48602,CUST034,East,97204,20381
2024-02-04,Tablet,6,4339,CUST035,South,26034,11331
2024-02-05,Tablet,4,45515,CUST036,East,182060,35329
2024-02-06,Phone,5,40177,CUST037,North,200885,41577
2024-02-07,Monitor,8,19256,CUST038,East,154048,28809
2024-02-08,Monitor,1,39924,CUST039,South,39924,9529
2024-02-09,Phone,4,11494,CUST040,South,45976,13669
2024-02-10,Monitor,1,20083,CUST041,West,20083,10091
2024-02-11,Phone,1,18616,CUST042,West,18616,8693
2024-02-12,Tablet,6,43350,CUST043,West,260100,51586
2024-02-13,Monitor,4,43428,CUST044,West,173712,35665
2024-02-14,Phone,2,40244,CUST045,East,80488,16530
2024-02-15,Tablet,2,11032,CUST046,West,22064,7531
2024-02-16,Phone,6,29499,CUST047,North,176994,35937
2024-02-17,Monitor,1,6720,CUST048,West,6720,8323
2024-02-18,Laptop,1,32297,CUST049,South,32297,11500
2024-02-19,Laptop,4,43848,CUST050,West,175392,33044
2024-02-20,Phone,9,15160,CUST051,West,136440,30207
2024-02-21,Headphones,1,32524,CUST052,West,32524,10084
2024-02-22,Monitor,6,24160,CUST053,North,144960,29738
2024-02-23,Tablet,5,1308,CUST054,North,6540,7400
2024-02-24,Tablet,7,4341,CUST055,South,30387,12531
2024-02-25,Phone,3,37135,CUST056,North,111405,26915
2024-02-26,Monitor,6,37055,CUST057,East,222330,43340
2024-02-27,Monitor,2,5272,CUST058,East,10544,6279
2024-02-28,Laptop,5,15475,CUST059,South,77375,19590
2024-02-29,Headphones,3,13624,CUST060,South,40872,14308
2024-03-01,Tablet,5,29840,CUST061,North,149200,30897
2024-03-02,Laptop,8,19661,CUST062,South,157288,32940
2024-03-03,Monitor,9,24224,CUST063,East,218016,42030
2024-03-04,Laptop,5,17924,CUST064,West,89620,18739
2024-03-05,Phone,7,44652,CUST065,South,312564,62886
2024-03-06,Laptop,8,14381,CUST066,North,115048,28421
2024-03-07,Headphones,2,44487,CUST067,East,88974,20871
2024-03-08,Laptop,3,34303,CUST068,North,102909,25530
2024-03-09,Tablet,3,23229,CUST069,North,69687,18266
2024-03-10,Laptop,9,35418,CUST070,South,318762,61086
2024-03-11,Phone,4,34843,CUST071,West,139372,30809
2024-03-12,Headphones,8,18964,CUST072,East,151712,35384
2024-03-13,Headphones,7,49930,CUST073,West,349510,67840
2024-03-14,Tablet,4,17512,CUST074,South,70048,20737
2024-03-15,Monitor,6,23381,CUST075,North,140286,25011
2024-03-16,Phone,5,16596,CUST076,South,82980,21580
2024-03-17,Laptop,7,2603,CUST077,South,18221,8453
2024-03-18,Tablet,9,26110,CUST078,East,234990,46700
2024-03-19,Tablet,9,19425,CUST079,North,174825,36652
2024-03-20,Phone,4,49101,CUST080,South,196404,36377
2024-03-21,Laptop,4,28098,CUST081,East,112392,24791
2024-03-22,Headphones,2,48769,CUST082,South,97538,23271
2024-03-23,Laptop,8,43861,CUST083,North,350888,71115
2024-03-24,Phone,8,40518,CUST084,South,324144,62309
2024-03-25,Laptop,3,7455,CUST085,South,22365,7408
2024-03-26,Monitor,7,11591,CUST086,North,81137,18601
2024-03-27,Tablet,4,3839,CUST087,West,15356,9594
2024-03-28,Phone,6,4578,CUST088,West,27468,10601
2024-03-29,Laptop,6,38037,CUST089,North,228222,45020
2024-03-30,Monitor,4,9483,CUST090,East,37932,12854
2024-03-31,Laptop,1,7148,CUST091,North,7148,6480
2024-04-01,Tablet,5,30531,CUST092,South,152655,34415
2024-04-02,Headphones,6,42813,CUST093,South,256878,49833
2024-04-03,Laptop,6,16667,CUST094,South,100002,22345
2024-04-04,Tablet,7,19507,CUST095,West,136549,28794
2024-04-05,Tablet,8,20770,CUST096,North,166160,31981
2024-04-06,Headphones,1,7647,CUST097,West,7647,6968
2024-04-07,Tablet,5,27196,CUST098,East,135980,29998
